id,user_id,kind,payload,ts
2859,226,miniapp_beta_status,"{""enabled"": true}",2025-11-04 17:43:58.414356
2904,1,message_voice,"{""chat_id"": 648981358, ""file_id"": ""AwACAgIAAxkBAAIzeGkLdg443rpk826yTm_SkX9iJTHoAALshgACXZpZSAeDN4_Qg9XWNgQ"", ""file_size"": 4867, ""duration"": 1}",2025-11-05 16:06:38.897927
3005,1,message_video,"{""chat_id"": 648981358, ""file_id"": ""BAACAgIAAxkBAAI0s2kNtDuzbn5nrSZ8JkzVbevp36ttAAJthgAC_dRwSDD7XP2aMh54NgQ"", ""file_size"": 13936231, ""caption"": null}",2025-11-07 08:56:28.998296
3009,1,message_video,"{""chat_id"": 648981358, ""file_id"": ""BAACAgIAAxkBAAI0yWkNyzkc7MXdMS4MgKE09NezZHW7AAKNhwAC_dRwSHzs7FmjvKj6NgQ"", ""file_size"": 807659671, ""caption"": null}",2025-11-07 10:34:33.558675
3393,239,miniapp_beta_status,"{""enabled"": true}",2025-11-11 10:01:30.993475
3014,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI00mkNz68LcpRUFqRwy5ns-rUI3Yf5AAL3igACAflpSPJ70Ij2R03ANgQ"", ""file_size"": 6797, ""duration"": 3, ""caption"": null}",2025-11-07 10:53:35.869977
3019,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI05GkN0KlEzUmuadY2GVGooUXBYCDJAAIOiwACAflpSO95ZT6Hw2ouNgQ"", ""file_size"": 4539, ""duration"": 2, ""caption"": null}",2025-11-07 10:57:45.209007
3023,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI08GkN0M5yClEBFBNMieD15lHFPoJdAAIYiwACAflpSE9YqHvmyR7SNgQ"", ""file_size"": 6897, ""duration"": 3, ""caption"": null}",2025-11-07 10:58:22.805087
3024,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI0-2kN0PFU77rf6b2YtMTZPqSGu3mqAAIgiwACAflpSO2qucGmTni6NgQ"", ""file_size"": 338660, ""duration"": 169, ""caption"": null}",2025-11-07 10:58:57.173937
3028,140,message_audio,"{""chat_id"": 359938915, ""file_id"": ""CQACAgIAAxkBAAI1CGkN0S_PJAOAlrUhxMvaQ8WvTajeAAIriwACAflpSIxOL4Fb30qONgQ"", ""file_size"": 148833, ""duration"": 74, ""caption"": null}",2025-11-07 10:59:59.412612
